id,axis,level_id,spelling,translation,example,example_translation
eiken-3-abroad,eiken,eiken-3,abroad,海外へ,"Students learned ""abroad"" while reading the article.",生徒たちは記事を読みながら「海外へ」を学びました。
eiken-3-culture,eiken,eiken-3,culture,文化,"The speaker used ""culture"" to explain the idea.",話し手は考えを説明するために「文化」を使いました。
eiken-3-environment,eiken,eiken-3,environment,環境,"This passage includes ""environment"" as an important word.",この文章には重要語として「環境」が含まれています。
eiken-3-habit,eiken,eiken-3,habit,習慣,"The class discussed ""habit"" during the lesson.",その授業では「習慣」について話し合いました。
eiken-3-invite,eiken,eiken-3,invite,招待する,"Learners should understand ""invite"" in context.",学習者は文脈の中で「招待する」を理解する必要があります。
eiken-3-neighbor,eiken,eiken-3,neighbor,隣人,"Students learned ""neighbor"" while reading the article.",生徒たちは記事を読みながら「隣人」を学びました。
eiken-3-practice,eiken,eiken-3,practice,練習する,"The speaker used ""practice"" to explain the idea.",話し手は考えを説明するために「練習する」を使いました。
eiken-3-promise,eiken,eiken-3,promise,約束する,"This passage includes ""promise"" as an important word.",この文章には重要語として「約束する」が含まれています。
eiken-3-suddenly,eiken,eiken-3,suddenly,突然,"The class discussed ""suddenly"" during the lesson.",その授業では「突然」について話し合いました。
eiken-3-traffic,eiken,eiken-3,traffic,交通,"Learners should understand ""traffic"" in context.",学習者は文脈の中で「交通」を理解する必要があります。
eiken-3-accident,eiken,eiken-3,accident,事故,"Students learned ""accident"" while reading the article.",生徒たちは記事を読みながら「事故」を学びました。
eiken-3-advice,eiken,eiken-3,advice,助言,"The speaker used ""advice"" to explain the idea.",話し手は考えを説明するために「助言」を使いました。
eiken-3-airport,eiken,eiken-3,airport,空港,"This passage includes ""airport"" as an important word.",この文章には重要語として「空港」が含まれています。
eiken-3-answer,eiken,eiken-3,answer,答え,"The class discussed ""answer"" during the lesson.",その授業では「答え」について話し合いました。
eiken-3-birthday,eiken,eiken-3,birthday,誕生日,"Learners should understand ""birthday"" in context.",学習者は文脈の中で「誕生日」を理解する必要があります。
eiken-3-bridge,eiken,eiken-3,bridge,橋,"Students learned ""bridge"" while reading the article.",生徒たちは記事を読みながら「橋」を学びました。
eiken-3-camera,eiken,eiken-3,camera,カメラ,"The speaker used ""camera"" to explain the idea.",話し手は考えを説明するために「カメラ」を使いました。
eiken-3-chance,eiken,eiken-3,chance,機会,"This passage includes ""chance"" as an important word.",この文章には重要語として「機会」が含まれています。
eiken-3-classroom,eiken,eiken-3,classroom,教室,"The class discussed ""classroom"" during the lesson.",その授業では「教室」について話し合いました。
eiken-3-club,eiken,eiken-3,club,部活動,"Learners should understand ""club"" in context.",学習者は文脈の中で「部活動」を理解する必要があります。
eiken-3-college,eiken,eiken-3,college,大学,"Students learned ""college"" while reading the article.",生徒たちは記事を読みながら「大学」を学びました。
eiken-3-country,eiken,eiken-3,country,国,"The speaker used ""country"" to explain the idea.",話し手は考えを説明するために「国」を使いました。
eiken-3-doctor,eiken,eiken-3,doctor,医師,"This passage includes ""doctor"" as an important word.",この文章には重要語として「医師」が含まれています。
eiken-3-dream,eiken,eiken-3,dream,夢,"The class discussed ""dream"" during the lesson.",その授業では「夢」について話し合いました。
eiken-3-event,eiken,eiken-3,event,行事,"Learners should understand ""event"" in context.",学習者は文脈の中で「行事」を理解する必要があります。
eiken-3-festival,eiken,eiken-3,festival,祭り,"Students learned ""festival"" while reading the article.",生徒たちは記事を読みながら「祭り」を学びました。
eiken-3-future,eiken,eiken-3,future,将来,"The speaker used ""future"" to explain the idea.",話し手は考えを説明するために「将来」を使いました。
eiken-3-garbage,eiken,eiken-3,garbage,ごみ,"This passage includes ""garbage"" as an important word.",この文章には重要語として「ごみ」が含まれています。
eiken-3-garden,eiken,eiken-3,garden,庭,"The class discussed ""garden"" during the lesson.",その授業では「庭」について話し合いました。
eiken-3-health,eiken,eiken-3,health,健康,"Learners should understand ""health"" in context.",学習者は文脈の中で「健康」を理解する必要があります。
eiken-3-hobby,eiken,eiken-3,hobby,趣味,"Students learned ""hobby"" while reading the article.",生徒たちは記事を読みながら「趣味」を学びました。
eiken-3-holiday,eiken,eiken-3,holiday,休日,"The speaker used ""holiday"" to explain the idea.",話し手は考えを説明するために「休日」を使いました。
eiken-3-hospital,eiken,eiken-3,hospital,病院,"This passage includes ""hospital"" as an important word.",この文章には重要語として「病院」が含まれています。
eiken-3-island,eiken,eiken-3,island,島,"The class discussed ""island"" during the lesson.",その授業では「島」について話し合いました。
eiken-3-kitchen,eiken,eiken-3,kitchen,台所,"Learners should understand ""kitchen"" in context.",学習者は文脈の中で「台所」を理解する必要があります。
eiken-3-library,eiken,eiken-3,library,図書館,"Students learned ""library"" while reading the article.",生徒たちは記事を読みながら「図書館」を学びました。
eiken-3-message,eiken,eiken-3,message,伝言,"The speaker used ""message"" to explain the idea.",話し手は考えを説明するために「伝言」を使いました。
eiken-3-museum,eiken,eiken-3,museum,博物館,"This passage includes ""museum"" as an important word.",この文章には重要語として「博物館」が含まれています。
eiken-3-nature,eiken,eiken-3,nature,自然,"The class discussed ""nature"" during the lesson.",その授業では「自然」について話し合いました。
eiken-3-noise,eiken,eiken-3,noise,騒音,"Learners should understand ""noise"" in context.",学習者は文脈の中で「騒音」を理解する必要があります。
eiken-3-opinion,eiken,eiken-3,opinion,意見,"Students learned ""opinion"" while reading the article.",生徒たちは記事を読みながら「意見」を学びました。
eiken-3-picnic,eiken,eiken-3,picnic,ピクニック,"The speaker used ""picnic"" to explain the idea.",話し手は考えを説明するために「ピクニック」を使いました。
eiken-3-plan,eiken,eiken-3,plan,計画,"This passage includes ""plan"" as an important word.",この文章には重要語として「計画」が含まれています。
eiken-3-problem,eiken,eiken-3,problem,問題,"The class discussed ""problem"" during the lesson.",その授業では「問題」について話し合いました。
eiken-3-question,eiken,eiken-3,question,質問,"Learners should understand ""question"" in context.",学習者は文脈の中で「質問」を理解する必要があります。
eiken-3-reason,eiken,eiken-3,reason,理由,"Students learned ""reason"" while reading the article.",生徒たちは記事を読みながら「理由」を学びました。
eiken-3-restaurant,eiken,eiken-3,restaurant,レストラン,"The speaker used ""restaurant"" to explain the idea.",話し手は考えを説明するために「レストラン」を使いました。
eiken-3-rule,eiken,eiken-3,rule,規則,"This passage includes ""rule"" as an important word.",この文章には重要語として「規則」が含まれています。
eiken-3-season,eiken,eiken-3,season,季節,"The class discussed ""season"" during the lesson.",その授業では「季節」について話し合いました。
eiken-3-station,eiken,eiken-3,station,駅,"Learners should understand ""station"" in context.",学習者は文脈の中で「駅」を理解する必要があります。
eiken-3-ticket,eiken,eiken-3,ticket,切符,"Students learned ""ticket"" while reading the article.",生徒たちは記事を読みながら「切符」を学びました。
eiken-3-trip,eiken,eiken-3,trip,旅行,"The speaker used ""trip"" to explain the idea.",話し手は考えを説明するために「旅行」を使いました。
eiken-3-village,eiken,eiken-3,village,村,"This passage includes ""village"" as an important word.",この文章には重要語として「村」が含まれています。
eiken-3-volunteer,eiken,eiken-3,volunteer,ボランティア,"The class discussed ""volunteer"" during the lesson.",その授業では「ボランティア」について話し合いました。
