id,axis,level_id,spelling,translation,example,example_translation
toeic-700-allocate,toeic,toeic-700,allocate,割り当てる,The team will allocate the details this week.,チームは今週、詳細を割り当てる予定です。
toeic-700-negotiate,toeic,toeic-700,negotiate,交渉する,The team will negotiate the details this week.,チームは今週、詳細を交渉する予定です。
toeic-700-inventory,toeic,toeic-700,inventory,在庫,The manager reviewed the inventory before the meeting.,マネージャーは会議の前に在庫を確認しました。
toeic-700-comply,toeic,toeic-700,comply,従う,Employees need to comply when the situation changes.,状況が変わったとき、従業員は従う必要があります。
toeic-700-postpone,toeic,toeic-700,postpone,延期する,The team will postpone the details this week.,チームは今週、詳細を延期する予定です。
toeic-700-venue,toeic,toeic-700,venue,会場,The manager reviewed the venue before the meeting.,マネージャーは会議の前に会場を確認しました。
toeic-700-evaluate,toeic,toeic-700,evaluate,評価する,The team will evaluate the details this week.,チームは今週、詳細を評価する予定です。
toeic-700-defect,toeic,toeic-700,defect,欠陥,The manager reviewed the defect before the meeting.,マネージャーは会議の前に欠陥を確認しました。
toeic-700-shipment,toeic,toeic-700,shipment,出荷,The manager reviewed the shipment before the meeting.,マネージャーは会議の前に出荷を確認しました。
toeic-700-revenue,toeic,toeic-700,revenue,収益,The manager reviewed the revenue before the meeting.,マネージャーは会議の前に収益を確認しました。
toeic-700-briefing,toeic,toeic-700,briefing,説明会,The manager reviewed the briefing before the meeting.,マネージャーは会議の前に説明会を確認しました。
toeic-700-extend,toeic,toeic-700,extend,延長する,The team will extend the details this week.,チームは今週、詳細を延長する予定です。
toeic-700-agenda,toeic,toeic-700,agenda,議題,The manager reviewed the agenda before the meeting.,マネージャーは会議の前に議題を確認しました。
toeic-700-proposal,toeic,toeic-700,proposal,提案,The manager reviewed the proposal before the meeting.,マネージャーは会議の前に提案を確認しました。
toeic-700-contract,toeic,toeic-700,contract,契約,The manager reviewed the contract before the meeting.,マネージャーは会議の前に契約を確認しました。
toeic-700-estimate,toeic,toeic-700,estimate,見積もり,The manager reviewed the estimate before the meeting.,マネージャーは会議の前に見積もりを確認しました。
toeic-700-approval,toeic,toeic-700,approval,承認,The manager reviewed the approval before the meeting.,マネージャーは会議の前に承認を確認しました。
toeic-700-applicant,toeic,toeic-700,applicant,応募者,The manager reviewed the applicant before the meeting.,マネージャーは会議の前に応募者を確認しました。
toeic-700-benefit,toeic,toeic-700,benefit,福利厚生,The manager reviewed the benefit before the meeting.,マネージャーは会議の前に福利厚生を確認しました。
toeic-700-commute,toeic,toeic-700,commute,通勤,The manager reviewed the commute before the meeting.,マネージャーは会議の前に通勤を確認しました。
toeic-700-complaint,toeic,toeic-700,complaint,苦情,The manager reviewed the complaint before the meeting.,マネージャーは会議の前に苦情を確認しました。
toeic-700-competitor,toeic,toeic-700,competitor,競合相手,The manager reviewed the competitor before the meeting.,マネージャーは会議の前に競合相手を確認しました。
toeic-700-consultant,toeic,toeic-700,consultant,コンサルタント,The manager reviewed the consultant before the meeting.,マネージャーは会議の前にコンサルタントを確認しました。
toeic-700-department,toeic,toeic-700,department,部署,The manager reviewed the department before the meeting.,マネージャーは会議の前に部署を確認しました。
toeic-700-distribution,toeic,toeic-700,distribution,流通,The manager reviewed the distribution before the meeting.,マネージャーは会議の前に流通を確認しました。
toeic-700-efficiency,toeic,toeic-700,efficiency,効率,The manager reviewed the efficiency before the meeting.,マネージャーは会議の前に効率を確認しました。
