id,axis,level_id,spelling,translation,example,example_translation
toeic-700-allocate,toeic,toeic-700,allocate,割り当てる,"The team reviewed ""allocate"" before making a decision.",チームは決定前に「割り当てる」を確認しました。
toeic-700-negotiate,toeic,toeic-700,negotiate,交渉する,"The manager used ""negotiate"" in the monthly report.",マネージャーは月次報告で「交渉する」を使いました。
toeic-700-inventory,toeic,toeic-700,inventory,在庫,"Employees should understand ""inventory"" in business documents.",従業員は業務文書で「在庫」を理解する必要があります。
toeic-700-comply,toeic,toeic-700,comply,従う,"The notice mentioned ""comply"" for all staff members.",その通知は全スタッフ向けに「従う」に触れていました。
toeic-700-postpone,toeic,toeic-700,postpone,延期する,"The client asked about ""postpone"" after the meeting.",顧客は会議後に「延期する」について尋ねました。
toeic-700-venue,toeic,toeic-700,venue,会場,"The team reviewed ""venue"" before making a decision.",チームは決定前に「会場」を確認しました。
toeic-700-evaluate,toeic,toeic-700,evaluate,評価する,"The manager used ""evaluate"" in the monthly report.",マネージャーは月次報告で「評価する」を使いました。
toeic-700-defect,toeic,toeic-700,defect,欠陥,"Employees should understand ""defect"" in business documents.",従業員は業務文書で「欠陥」を理解する必要があります。
toeic-700-shipment,toeic,toeic-700,shipment,出荷,"The notice mentioned ""shipment"" for all staff members.",その通知は全スタッフ向けに「出荷」に触れていました。
toeic-700-revenue,toeic,toeic-700,revenue,収益,"The client asked about ""revenue"" after the meeting.",顧客は会議後に「収益」について尋ねました。
toeic-700-briefing,toeic,toeic-700,briefing,説明会,"The team reviewed ""briefing"" before making a decision.",チームは決定前に「説明会」を確認しました。
toeic-700-extend,toeic,toeic-700,extend,延長する,"The manager used ""extend"" in the monthly report.",マネージャーは月次報告で「延長する」を使いました。
toeic-700-agenda,toeic,toeic-700,agenda,議題,"Employees should understand ""agenda"" in business documents.",従業員は業務文書で「議題」を理解する必要があります。
toeic-700-proposal,toeic,toeic-700,proposal,提案,"The notice mentioned ""proposal"" for all staff members.",その通知は全スタッフ向けに「提案」に触れていました。
toeic-700-contract,toeic,toeic-700,contract,契約,"The client asked about ""contract"" after the meeting.",顧客は会議後に「契約」について尋ねました。
toeic-700-estimate,toeic,toeic-700,estimate,見積もり,"The team reviewed ""estimate"" before making a decision.",チームは決定前に「見積もり」を確認しました。
toeic-700-approval,toeic,toeic-700,approval,承認,"The manager used ""approval"" in the monthly report.",マネージャーは月次報告で「承認」を使いました。
toeic-700-applicant,toeic,toeic-700,applicant,応募者,"Employees should understand ""applicant"" in business documents.",従業員は業務文書で「応募者」を理解する必要があります。
toeic-700-benefit,toeic,toeic-700,benefit,福利厚生,"The notice mentioned ""benefit"" for all staff members.",その通知は全スタッフ向けに「福利厚生」に触れていました。
toeic-700-commute,toeic,toeic-700,commute,通勤,"The client asked about ""commute"" after the meeting.",顧客は会議後に「通勤」について尋ねました。
toeic-700-complaint,toeic,toeic-700,complaint,苦情,"The team reviewed ""complaint"" before making a decision.",チームは決定前に「苦情」を確認しました。
toeic-700-competitor,toeic,toeic-700,competitor,競合相手,"The manager used ""competitor"" in the monthly report.",マネージャーは月次報告で「競合相手」を使いました。
