id,axis,level_id,spelling,translation,example,example_translation
eiken-pre2-affect,eiken,eiken-pre2,affect,影響を与える,People can affect the problem through careful action.,人々は慎重な行動でその問題を影響を与えることができます。
eiken-pre2-benefit,eiken,eiken-pre2,benefit,利益,Students discussed the benefit in class.,生徒たちは授業で利益について話し合いました。
eiken-pre2-community,eiken,eiken-pre2,community,地域社会,Students discussed the community in class.,生徒たちは授業で地域社会について話し合いました。
eiken-pre2-consider,eiken,eiken-pre2,consider,よく考える,People can consider the problem through careful action.,人々は慎重な行動でその問題をよく考えることができます。
eiken-pre2-efficient,eiken,eiken-pre2,efficient,効率的な,The topic was efficient for many students.,その話題は多くの生徒にとって効率的なでした。
eiken-pre2-factor,eiken,eiken-pre2,factor,要因,Students discussed the factor in class.,生徒たちは授業で要因について話し合いました。
eiken-pre2-provide,eiken,eiken-pre2,provide,提供する,People can provide the problem through careful action.,人々は慎重な行動でその問題を提供することができます。
eiken-pre2-reduce,eiken,eiken-pre2,reduce,減らす,People can reduce the problem through careful action.,人々は慎重な行動でその問題を減らすことができます。
eiken-pre2-solution,eiken,eiken-pre2,solution,解決策,Students discussed the solution in class.,生徒たちは授業で解決策について話し合いました。
eiken-pre2-actually,eiken,eiken-pre2,actually,実際に,She answered actually during the interview.,彼女は面接で実際に答えました。
eiken-pre2-advantage,eiken,eiken-pre2,advantage,利点,Students discussed the advantage in class.,生徒たちは授業で利点について話し合いました。
eiken-pre2-article,eiken,eiken-pre2,article,記事,Students discussed the article in class.,生徒たちは授業で記事について話し合いました。
eiken-pre2-behavior,eiken,eiken-pre2,behavior,行動,Students discussed the behavior in class.,生徒たちは授業で行動について話し合いました。
eiken-pre2-communication,eiken,eiken-pre2,communication,意思疎通,Students discussed the communication in class.,生徒たちは授業で意思疎通について話し合いました。
eiken-pre2-comparison,eiken,eiken-pre2,comparison,比較,Students discussed the comparison in class.,生徒たちは授業で比較について話し合いました。
eiken-pre2-condition,eiken,eiken-pre2,condition,状態,Students discussed the condition in class.,生徒たちは授業で状態について話し合いました。
eiken-pre2-confidence,eiken,eiken-pre2,confidence,自信,Students discussed the confidence in class.,生徒たちは授業で自信について話し合いました。
eiken-pre2-custom,eiken,eiken-pre2,custom,習慣,Students discussed the custom in class.,生徒たちは授業で習慣について話し合いました。
eiken-pre2-development,eiken,eiken-pre2,development,発展,Students discussed the development in class.,生徒たちは授業で発展について話し合いました。
